region_id	region_name	region_name_in_data	region_ent_type	total	electricity-from_national_grid_or_from_rural_hydro_power_project	kerosene_lamp	solar_power_grid_connected	solar_power_standalone	bio_gas	rural_water_supply_project	other
LK-1215	Minuwangoda	Minuwangoda	dsd	56770	56198	340	96	28	2	4	102
LK-1218	Wattala	Wattala	dsd	49300	48712	317	119	45	4	2	101
LK-1221	Ja Ela	- - Ja-Ela	dsd	57689	56833	326	157	50	1	12	310
LK-1224	Gampaha	Gampaha	dsd	57859	57149	239	339	59	1	4	68
LK-1227	Attanagalla	Attanagalla	dsd	54449	53955	345	59	26	0	3	61
LK-1230	Dompe	Dompe	dsd	47551	46921	447	20	17	1	4	141
LK-1233	Mahara	Mahara	dsd	61767	60808	363	251	59	40	3	243
LK-1236	Kelaniya	Kelaniya	dsd	37231	36844	173	132	31	0	6	45
LK-1239	Biyagama	Biyagama	dsd	59310	58828	220	126	56	0	8	72
LK-13	Kalutara	Kalutara District	district	352963	348801	2859	582	204	13	26	478
LK-1303	Panadura	Panadura	dsd	49763	49237	159	201	49	2	3	112
LK-1306	Bandaragama	Bandaragama	dsd	33568	33226	138	119	33	3	2	47
LK-1309	Horana	Horana	dsd	37801	37447	214	51	13	2	2	72
LK-1310	Ingiriya	Ingiriya	dsd	16490	16249	189	11	7	1	3	30
LK-1312	Bulathsinhala	Bulathsinhala	dsd	18737	18345	350	4	9	1	4	24
LK-1315	Madurawala	Madurawala	dsd	10428	10257	150	7	3	0	1	10
LK-1318	Millaniya	Millaniya	dsd	15781	15594	165	0	1	1	1	19
LK-1321	Kalutara	Kalutara	dsd	44332	43951	182	114	42	0	3	40
LK-1324	Beruwala	Beruwala	dsd	42471	42072	306	38	16	1	4	34
LK-1327	Dodangoda	Dodangoda	dsd	18667	18382	251	12	4	0	1	17
LK-1330	Matugama	Mathugama	dsd	23503	23266	203	12	3	1	0	18
LK-1333	Agalawatta	Agalawatta	dsd	10502	10410	77	5	3	0	0	7
